"lnRR","Env_Type"
"0.133162601","Normal"
"0.143758294","PFR"
"0.135174261","PFR"
"0.11252553","PFR"
"0.17692765","PFR"
"0.112347627","PFR"
"0.101388939","PFR"
"0.119417655","PFR"
"0.132423847","PFR"
"0.063573419","PFR"
"0.362649595","PFR"
"0.360596954","PFR"
"0.346203826","PFR"
"0.185065012","PFR"
"0.380741995","PFR"
"0.295889962","PFR"
"0.364337897","PFR"
"0.14541628","PFR"
"0.374257967","PFR"
"0.252279713","PFR"
"0.2776314","PFR"
"0.205733321","PFR"
"0.176381472","PFR"
"0.248206942","PFR"
"0.3783552","PFR"
"0.549216242","PFR"
"0.534418992","PFR"
"0.517539735","PFR"
"0.543547071","PFR"
"0.5970998","PFR"
"1.011600912","Normal"
"1.220502106","Normal"
"1.252762968","Normal"
"1.170071253","Normal"
"1.228665417","Normal"
"0.750259604","Normal"
"0.791613122","Normal"
"0.787855132","Normal"
"0.784838539","Normal"
"0.794609379","Normal"
"0.774208218","Normal"
"1.458082305","Normal"
"1.474815412","Normal"
"1.45095215","Normal"
"1.519229202","Normal"
"1.486105155","Normal"
"1.50322886","Normal"
"0.226773319","Normal"
"0.174716957","Normal"
"0.529694108","PFR"
"0.557345639","PFR"
"0.372675285","PFR"
"0.444967551","PFR"
"0.415721608","PFR"
"0.77652879","PFR"
"0.815749502","PFR"
"0.830348302","GFR"
"0.522189382","GFR"
"0.578077851","GFR"
"0.589468751","GFR"
"0.0572424","Normal"
"0.091198863","Normal"
"0.089339385","Normal"
"0.098584824","Normal"
"0.072473679","Normal"
"0.2174323","PFR"
"0.263523263","PFR"
"0.363460641","PFR"
"0.416383043","PFR"
"0.477095474","PFR"
"0.201616382","Normal"
"0.232489074","Normal"
"0.291514292","Normal"
"0.367761207","Normal"
"0.477139302","Normal"
"0.276910618","PFR"
"0.32277299","PFR"
"0.427444014","Normal"
"0.307484699","Normal"
"0.355340721","Normal"
"0.409899705","Normal"
"0.409899705","Normal"
"0.355340721","Normal"
"0.21511138","Normal"
"0.257222865","Normal"
"0.270810571","Normal"
"0.340501963","Normal"
"0.377405944","Normal"
"0.376486333","Normal"
"0.455968607","Normal"
"0.32180983","Normal"
"0.362964577","GFR"
"0.611363814","GFR"
"0.762243586","GFR"
"0.83339013","GFR"
"0.879795093","GFR"
"0.853766617","GFR"
"0.170106465","PFR"
"0.693147181","PFR"
"0.775734185","PFR"
"0.88535347","PFR"
"0.419854031","PFR"
"0.780521004","PFR"
"1.038892257","PFR"
"1.092797374","PFR"
"0.345919109","Normal"
"0.466595249","Normal"
"0.243940113","Normal"
"0.393094152","Normal"
"0.192020308","Normal"
"0.250942377","Normal"
"0.377029829","Normal"
"0.51228844","Normal"
"0.258986812","PFR"
"0.328241909","PFR"
"0.332341779","PFR"
"0.453806975","PFR"
"0.357592422","PFR"
"0.490529249","PFR"
"0.132952245","Normal"
